claim_no,policy_no,plate_no,source_file,class_of_business,vehicle_type_group,vehicle_type,accident_type,branch_name,sum_insured_numeric,reporting_lag_days,coverage_duration_days,is_comprehensive,policy_type,accident_date,notification_date,period_from,period_to,od_total,tp_bi_total,tp_pd_total,total_claim_severity,log_claim_severity
TKR/TPCL/110/23,,ET-908 የዕለት,September_2024,Commercial,Special_Purpose,Crane,Collision,Kera,0.0,3.0,365.0,0,TP_ONLY,2023-11-25 00:00:00,2023-11-28,2023-06-24,2024-06-23,0.0,0.0,100000.0,100000.0,11.512925464970229
TKR/TPCL/113/23,TKR/MTC/4489/0817,03-92108/03384ET,August_2024,Commercial,Truck,Truck/Trailer,Collision,Kera,0.0,1.0,365.0,0,TP_ONLY,2023-12-15 00:00:00,2023-12-16,2023-08-29,2024-08-28,0.0,0.0,167448.13,167448.13,12.028428910647303
TKR/TPCL/130/22,TKR/MTP/6988/1021,02-B85441AA,February_2025,Private,Automobile,Automobile,Collision,Kera,0.0,1.0,364.0,0,TP_ONLY,2022-09-12 00:00:00,2022-09-13,2021-10-12,2022-10-11,0.0,0.0,86956.52,86956.52,11.37316350259507
TKR/TPCL/53/24,TKR/MTT/7843/0624,03-B77594 AA,October_2024,Public_Transport,Bus_Minibus,Mini Bus,Collision,Kera,0.0,1.0,359.0,0,TP_ONLY,2024-06-25 00:00:00,2024-06-26,2024-06-18,2025-06-12,0.0,0.0,52968.98,52968.98,10.877461738170425
TKZ TPCL/009/25,TKZ/MTT/0436/0424,03-A14036 ET,June_2025,Commercial,Truck,Truck,Collision,Kazanchis,0.0,7.0,364.0,0,TP_ONLY,2025-03-10 00:00:00,2025-03-17,2024-05-01,2025-04-30,0.0,0.0,5260.0,5260.0,8.567886305731756
TKZ TPCL/012/25,TKZ/MTT/0602/1224,03-A43952AA ,June_2025,Commercial,Not_Specified,Not_Specified,Collision,Kazanchis,0.0,1.0,,0,TP_ONLY,2025-05-01 00:00:00,2025-05-02,2025-12-06,,0.0,0.0,22240.56,22240.56,10.009672927903626
TKZ TPCL/014/25,TKZ/MTC/0517/0720,03-A02673 ET,June_2025,Public_Transport,Bus_Minibus,Bus,Collision,Kazanchis,0.0,1.0,364.0,0,TP_ONLY,2025-04-16 00:00:00,2025-04-17,2024-07-25,2025-07-24,0.0,0.0,1920.0,1920.0,7.560080465021827
TKZ/MTC/001/23,TKZ/MTC/0005/0323,03-2782AA,July_2024,Private,Automobile,Automobile,Collision,Kazanchis,250000.0,2.0,365.0,1,COMPREHENSIVE,2023-05-06 00:00:00,2023-05-08,2023-03-14,2024-03-13,1657.37,0.0,0.0,1657.37,7.412987287611568
TKZ/MTC/002/24,TKZ/MTC/0496/0724,03-A04937ET,May_2025,Public_Transport,Bus_Minibus,Bus,Overturning,Kazanchis,12000000.0,0.0,512.0,1,COMPREHENSIVE,2024-11-20 00:00:00,2024-11-20,2024-07-13,2025-12-07,3806973.24,0.0,0.0,3806973.24,15.152345006183111
TKZ/MTC/003/24,TKZ/MTC/0003/24,03-A04933ET,June_2025,Public_Transport,Bus_Minibus,Bus,Collision,Kazanchis,12000000.0,324.0,512.0,1,COMPREHENSIVE,2024-01-12 00:00:00,2024-12-01,2024-07-13,2025-12-07,264760.0,0.0,0.0,264760.0,12.48657903423286
TKZ/MTC/003/25,TKZ/MTC/0483/0624,02-B75017AA,March_2025,Private,Automobile,Automobile,Collision,Kazanchis,4500000.0,0.0,335.0,1,COMPREHENSIVE,2025-03-19 00:00:00,2025-03-19,2024-02-07,2025-01-07,120330.97,0.0,0.0,120330.97,11.698001308564846
TKZ/MTP/001/25,TKZ/MTP/0531/0924,03-B79589 AA,February_2025,Public_Transport,Automobile,Automobile,Collision,Kazanchis,2100000.0,0.0,364.0,1,COMPREHENSIVE,2025-01-01 00:00:00,2025-01-01,2024-09-04,2025-09-03,87994.64,0.0,0.0,87994.64,11.3850311825144
TKZ/MTP/003/25,TKZ/MTP/0474/0624,02-C17146 AA,March_2025,Private,Not_Specified,Not_Specified,Collision,Kazanchis,1500000.0,3.0,364.0,1,COMPREHENSIVE,2025-01-19 00:00:00,2025-01-22,2024-06-07,2025-06-06,18088.73,0.0,0.0,18088.73,9.803044371391996
TKZ/MTP/004/25,TKZ/MTC/0224/1023,03-A24040 E.T,March_2025,Commercial,Truck,Truck,Collision,Kazanchis,11500000.0,1.0,364.0,1,COMPREHENSIVE,2025-01-26 00:00:00,2025-01-27,2024-10-24,2025-10-23,125000.0,0.0,0.0,125000.0,11.736069016284436
TKZ/MTP/006/24,TKZ/MTP/0092/0723,02-C06702AA,July_2024,Private,Automobile,Automobile,Collision,Kazanchis,2100000.0,2.0,333.0,1,COMPREHENSIVE,2024-04-16 00:00:00,2024-04-18,2023-07-07,2024-06-04,16722.5,0.0,0.0,16722.5,9.724510396992564
TKZ/MTP/006/25,TKZ/MTC/0397/0324,03-62853 E.T,April_2025,Commercial,Truck,Truck,Collision,Kazanchis,4000000.0,,364.0,1,COMPREHENSIVE,2025-12-02 00:00:00,2025-02-14,2024-03-30,2025-03-29,78091.3,0.0,0.0,78091.3,11.265633933976217
TKZ/MTP/008/24,TKZ/MTC/0078/0623,03-52947OR,July_2024,Public_Transport,Automobile,Automobile,Collision,Kazanchis,1900000.0,,365.0,1,COMPREHENSIVE,2024-04-16 00:00:00,2004-04-18,2023-06-15,2024-06-14,77439.67,0.0,0.0,77439.67,11.257254460577744
TKZ/MTP/009/256,TKZ/MTC/0133/0823,03-A23152 E.T,April_2025,Commercial,Truck,Truck,Collision,Kazanchis,8500000.0,1.0,364.0,1,COMPREHENSIVE,2025-03-30 00:00:00,2025-03-31,2024-07-22,2025-07-21,1962277.5,0.0,0.0,1962277.5,14.489616346415
TKZ/MTP/011/25,TKZ/MTP/0437/0524,02-B84773 AA,May_2025,Private,Automobile,Automobile,Collision,Kazanchis,2800000.0,1.0,335.0,1,COMPREHENSIVE,2025-04-07 00:00:00,2025-04-08,2024-03-05,2025-02-03,30000.0,0.0,0.0,30000.0,10.308952660644293
TKZ/MTP/012/24,TKZ/MTP/0095/0623,02-A43366 AA,August_2024,Private,Automobile,Automobile,Collision,Kazanchis,1500000.0,1.0,365.0,1,COMPREHENSIVE,2024-06-04 00:00:00,2024-06-05,2023-06-23,2024-06-22,4500.3,0.0,0.0,4500.3,8.411899340202954
TKZ/MTP/013/24,TKZ/MTP/0001/0323,02-B06436 AA,August_2024,Private,Automobile,Automobile,Flying_Object,Kazanchis,1500000.0,1.0,364.0,1,COMPREHENSIVE,2024-06-09 00:00:00,2024-06-10,2024-03-08,2025-03-07,38992.48,0.0,0.0,38992.48,10.571124086006698
TKZ/MTP/013/25,TKZ/MTP/0582/1124,02-C61081 AA,May_2025,Private,Automobile,Automobile,Collision,Kazanchis,7900000.0,1.0,334.0,1,COMPREHENSIVE,2025-04-16 00:00:00,2025-04-17,2024-08-11,2025-07-11,13000.0,0.0,0.0,13000.0,9.472704636443671
TKZ/MTP/014/24,TKZ/MTP/0095/0623,02-A43366 AA,August_2024,Private,Automobile,Automobile,Collision,Kazanchis,1500000.0,2.0,365.0,1,COMPREHENSIVE,2024-06-15 00:00:00,2024-06-17,2023-06-23,2024-06-22,51003.32,0.0,0.0,51003.32,10.839646007626891
TKZ/MTP/014/25,TKZ/MTC/0581/1124,03-B86011 AA,June_2025,Public_Transport,Automobile,Automobile,Theft,Kazanchis,2600000.0,2.0,335.0,1,COMPREHENSIVE,2025-04-17 00:00:00,2025-04-19,2024-05-11,2025-04-11,119727.66,0.0,0.0,119727.66,11.692974942545964
TKZ/MTP/015/24,TKZ/MTC/0207/0923,03-B68375 AA,August_2024,Public_Transport,Automobile,Automobile,Collision,Kazanchis,2000000.0,,365.0,1,COMPREHENSIVE,2024-08-01 00:00:00,2024-07-31,2023-09-30,2024-09-29,5913.53,0.0,0.0,5913.53,8.68499822481604
TKZ/MTP/015/25,TKZ/MTC/0692/0325,03-B88840 AA,May_2025,Public_Transport,Automobile,Automobile,Collision,Kazanchis,4000000.0,1.0,364.0,1,COMPREHENSIVE,2025-04-21 00:00:00,2025-04-22,2025-03-21,2026-03-20,5356.22,0.0,0.0,5356.22,8.586013781396916
TKZ/MTP/016/24,TKZ/MTC/0165/0823,03-B67930 AA,August_2024,Public_Transport,Automobile,Automobile,Collision,Kazanchis,1000000.0,2.0,365.0,1,COMPREHENSIVE,2024-08-05 00:00:00,2024-08-07,2023-08-29,2024-08-28,93670.2,0.0,0.0,93670.2,11.447535381356229
TKZ/MTP/017/24,TKZ/MYC/0306/0124,03-64298 E.T,January_2025,Commercial,Truck,Truck,Overturning,Kazanchis,3000000.0,1.0,335.0,1,COMPREHENSIVE,2024-08-07 00:00:00,2024-08-08,2024-07-01,2025-06-01,91876.52,0.0,0.0,91876.52,11.42820078059597
TKZ/MTP/018/24,TKZ/MTC/0508/0724,03-91073 E.T,August_2024,Commercial,Truck,Truck,Collision,Kazanchis,5000000.0,0.0,,1,COMPREHENSIVE,2024-08-15 00:00:00,2024-08-15,2024-07-20,2024-07-19,25500.0,0.0,0.0,25500.0,10.146433731146518
TKZ/MTP/020/24,TKZ/MTP/0279/1223,02-B01345 AA,October_2024,Private,Automobile,Automobile,Collision,Kazanchis,1700000.0,1.0,365.0,1,COMPREHENSIVE,2024-09-04 00:00:00,2024-09-05,2023-12-13,2024-12-12,4652.17,0.0,0.0,4652.17,8.445089056393044
TKZ/MTP/020/25,TKZ/MTP/0577/1024,03-B53586AA,June_2025,Private,Not_Specified,Not_Specified,Collision,Kazanchis,7000000.0,3.0,364.0,1,COMPREHENSIVE,2025-06-04 00:00:00,2025-06-07,2024-11-01,2025-10-31,51529.6,0.0,0.0,51529.6,10.849911678823675
TKZ/MTP/024/24,TKZ/MTC/0278/1223,03-B56785 AA,February_2025,Public_Transport,Automobile,Dzire,Collision,Kazanchis,2000000.0,1.0,365.0,1,COMPREHENSIVE,2024-10-28 00:00:00,2024-10-29,2023-12-22,2024-12-21,5000.0,0.0,0.0,5000.0,8.517193191416238
TKZ/TPCL/002/25,TKZ/MTT/0454/0524,03-B77293AA,February_2025,Public_Transport,Automobile,Automobile,Collision,Kazanchis,0.0,2.0,364.0,0,TP_ONLY,2025-01-16 00:00:00,2025-01-18,2024-05-21,2025-05-20,0.0,0.0,20000.0,20000.0,9.903487552536127
TKZ/TPCL/004/25,TKZ/MTT/0367/0224,03-B17404AA,June_2025,Commercial,Truck,Truck,Collision,Kazanchis,0.0,2.0,365.0,0,TP_ONLY,2025-01-27 00:00:00,2025-01-29,2024-02-27,2025-02-26,0.0,0.0,90500.0,90500.0,11.413105129688017
TKZ/TPCL/005/24,TKZ/MTT/0349/0224,02-B62268 AA,March_2025,Private,Automobile,Automobile,Collision,Kazanchis,0.0,5.0,365.0,0,TP_ONLY,2024-05-15 00:00:00,2024-05-20,2024-02-09,2025-02-08,0.0,0.0,15000.0,15000.0,9.615805480084347
TKZ/TPCL/005/25,TKZ/MTT/0542/0924,03-B07252AA,May_2025,Public_Transport,Automobile,Automobile,Collision,Kazanchis,0.0,13.0,364.0,0,TP_ONLY,2025-01-26 00:00:00,2025-02-08,2024-09-17,2025-09-16,0.0,0.0,15000.0,15000.0,9.615805480084347
TKZ/TPCL/006/24,TKZ/MTT/0396/0324,03-B26950 AA,March_2025,Public_Transport,Automobile,Automobile,Collision,Kazanchis,0.0,3.0,364.0,0,TP_ONLY,2024-06-14 00:00:00,2024-06-17,2024-03-29,2025-03-28,0.0,0.0,40892.12,40892.12,10.618692658431923
TKZ/TPCL/006/25,TKZ/MTT/0517/072024,03-A02672 ET,March_2025,Commercial,Bus_Minibus,Bus,Collision,Kazanchis,0.0,10.0,364.0,0,TP_ONLY,2025-02-01 00:00:00,2025-02-11,2024-07-25,2025-07-24,0.0,0.0,42250.0,42250.0,10.65135963278532
TKZ/TPCL/007/24,TKZ/MTT/0401/2024,03-B23199 AA,August_2024,Public_Transport,Automobile,Automobile,Collision,Kazanchis,0.0,5.0,364.0,0,TP_ONLY,2024-06-12 00:00:00,2024-06-17,2024-04-02,2025-04-01,0.0,0.0,19000.0,19000.0,9.852194258148575
TKZ/TPCL/008/24,TKZ/MTT/0207/0923,03-B68375AA,August_2024,Commercial,Automobile,Automobile,Collision,Kazanchis,0.0,1.0,365.0,0,TP_ONLY,2024-07-31 00:00:00,2024-08-01,2023-09-30,2024-09-29,0.0,0.0,26173.86,26173.86,10.17251648178168
TKZ/TPCL/011/24,,03-A89750AA,September_2024,Public_Transport,Automobile,Automobile,Collision,Kazanchis,0.0,1.0,365.0,0,TP_ONLY,2024-08-16 00:00:00,2024-08-17,2024-02-24,2025-02-23,0.0,0.0,34048.91,34048.91,10.435553299317842
TKZ/TPCL/016/24, TKZ/MTT/0128/0723 ,03-73241ET,March_2025,Commercial,Truck,Truck,Collision,Kazanchis,0.0,44.0,,0,TP_ONLY,2024-09-24 00:00:00,2024-11-07,2024-07-27,2024-07-26,0.0,0.0,47000.0,47000.0,10.757902880692196
TKZ/TPCL/018/24, TKZ/MTC/0165/0823,03-B767930AA,January_2025,Public_Transport,Automobile,Automobile,Collision,Kazanchis,0.0,1.0,364.0,0,TP_ONLY,2024-11-17 00:00:00,2024-11-18,2024-08-29,2025-08-28,0.0,0.0,6000.0,6000.0,8.699514748210191
TKZ/TPCL/021/24, TKZ/MTT/0198/0923 ,03-8622OR,February_2025,Public_Transport,Bus_Minibus,Mini Bus,Collision,Kazanchis,0.0,0.0,364.0,0,TP_ONLY,2024-12-19 00:00:00,2024-12-19,2024-10-27,2025-10-26,0.0,0.0,126705.0,126705.0,11.749616828829708
TLB/MTC/004/22,TLB/MTC/1344/0721,35-581AO,August_2024,Commercial,Automobile,Stationwagon,Collision,Lebu,6000000.0,0.0,364.0,1,COMPREHENSIVE,2022-07-05 00:00:00,2022-07-05,2021-07-31,2022-07-30,843798.2400000001,0.0,0.0,843798.2400000001,13.645668692867876
TLB/MTC/008/22,TLB/MTC/1167/0321,03-A30841AA,August_2024,Commercial,Pick_Up,Pick Up,Collision,Lebu,1900000.0,0.0,364.0,1,COMPREHENSIVE,2022-11-02 00:00:00,2022-11-02,2022-03-31,2023-03-30,2500.0,0.0,0.0,2500.0,7.824046010856292
TLB/MTCL/0084/21,TLB/MTC/1175/0421,03-88422/11948ET,July_2024,Commercial,Automobile,Automobile,Collision,Lebu,1600000.0,0.0,334.0,1,COMPREHENSIVE,2021-09-01 00:00:00,2021-09-01,2021-06-04,2022-05-04,5000.0,0.0,0.0,5000.0,8.517193191416238
TLB/MTP/001/24,TLB/MTC/2311/0723,03-A00469 AA,August_2024,Commercial,Not_Specified,Not_Specified,Overturning,Lebu,4000000.0,1.0,365.0,1,COMPREHENSIVE,2023-12-31 00:00:00,2024-01-01,2023-07-23,2024-07-22,800.0,0.0,0.0,800.0,6.684611727667927
TLB/MTP/001/25,TLB/MTC/1979/1022,03-B46261,March_2025,Public_Transport,Not_Specified,Not_Specified,Collision,Lebu,1500000.0,2.0,364.0,1,COMPREHENSIVE,2025-01-02 00:00:00,2025-01-04,2024-08-09,2025-08-08,18637.5,0.0,0.0,18637.5,9.832930959072996
TLB/MTP/002/25,TLB/MTP/2559/0424,02-A67340AA,January_2025,Private,Automobile,Autombile,Collision,Lebu,3000000.0,0.0,364.0,1,COMPREHENSIVE,2025-06-01 00:00:00,2025-06-01,2024-04-16,2025-04-15,446769.14,0.0,0.0,446769.14,13.009797274857169
TLB/MTP/004/24,,02-B31581 AA,September_2024,Private,Automobile,Automotive,Collision,Lebu,1200000.0,1.0,365.0,1,COMPREHENSIVE,2024-01-10 00:00:00,2024-01-11,2023-11-02,2024-11-01,10800.0,0.0,0.0,10800.0,9.287301413112312
TLB/MTP/004/25,TLB/MTC/2049/1122,03- A57056 AA,May_2025,Public_Transport,Not_Specified,Not_Specified,Collision,Lebu,2500000.0,3.0,364.0,1,COMPREHENSIVE,2025-01-17 00:00:00,2025-01-20,2024-12-05,2025-12-04,34600.0,0.0,0.0,34600.0,10.451608961045816
TLB/MTP/005/25,TLB/MTC/0196/0819,03-82819/36363 ET,March_2025,Commercial,Truck,Truck/Trailer,Collision,Lebu,2500000.0,1.0,364.0,1,COMPREHENSIVE,2025-01-31 00:00:00,2025-02-01,2024-08-16,2025-08-15,443818.44,0.0,0.0,443818.44,13.003170838865302
TLB/MTP/007/25,TLB/MTC/2752/0924,03-B59529AA,March_2025,Public_Transport,Automobile,Vitz,Collision,Lebu,1750000.0,1.0,364.0,1,COMPREHENSIVE,2025-02-14 00:00:00,2025-02-15,2024-09-19,2025-09-18,31705.0,0.0,0.0,31705.0,10.364229676134132
TLB/MTP/009/25,TLB/MTC/2180/0325,03-B38795 AA,March_2025,Public_Transport,Not_Specified,Not_Specified,Collision,Lebu,2700000.0,1.0,364.0,1,COMPREHENSIVE,2025-02-24 00:00:00,2025-02-25,2024-03-19,2025-03-18,29300.0,0.0,0.0,29300.0,10.28534279500516
TLB/MTP/010/24,TLB/MTC/2450/1223,3-B70237 AA,July_2024,Public_Transport,Automobile,Automobile,Collision,Lebu,1700000.0,,,1,COMPREHENSIVE,2024-05-02 00:00:00,2024-03-02,,2024-12-14,5000.0,0.0,0.0,5000.0,8.517193191416238
TLB/MTP/011/24,TLB/MTP/2081/1222,2-B 74283AA,August_2024,Private,Automobile,Automotive,Collision,Lebu,2200000.0,0.0,365.0,1,COMPREHENSIVE,2024-02-05 00:00:00,2024-02-05,2023-12-23,2024-12-22,4532.65,0.0,0.0,4532.65,8.41906203640021
TLB/MTP/012/25,TLB/MTP/0255/0919,02-A83797AA,June_2025,Private,Not_Specified,Plats,Collision,Lebu,1700000.0,1.0,364.0,1,COMPREHENSIVE,2025-04-01 00:00:00,2025-04-02,2024-09-21,2025-09-20,117167.38,0.0,0.0,117167.38,11.67135878973967
TLB/MTP/014/25,TLB/MTP/2862/1224,02-A90701AA,June_2025,Private,Automobile,Aotombilli,Breaking_Glass,Lebu,1600000.0,2.0,364.0,1,COMPREHENSIVE,2025-04-02 00:00:00,2025-04-04,2024-12-06,2025-12-05,27010.0,0.0,0.0,27010.0,10.203962446786662
TLB/MTP/015/25,TLB/MTP/2989/0225,02-C65965AA,May_2025,Private,Not_Specified,Not_Specified,Collision,Lebu,5200000.0,1.0,364.0,1,COMPREHENSIVE,2025-04-22 00:00:00,2025-04-23,2025-02-18,2026-02-17,172287.0,0.0,0.0,172287.0,12.056916969872676
TLB/MTP/016/24,TLB/MTP/2524/0324,2-98923AA,July_2024,Private,Automobile,Automobile,Collision,Lebu,1300000.0,,364.0,1,COMPREHENSIVE,2024-03-31 00:00:00,2024-01-04,2024-03-16,2025-03-15,87083.75,0.0,0.0,87083.75,11.374625578270598
TLB/MTP/018/24,,2B-49715 AA,September_2024,Private,Automobile,Automotive,Collision,Lebu,2250000.0,62.0,365.0,1,COMPREHENSIVE,2024-07-04 00:00:00,2024-09-04,2023-11-26,2024-11-25,59802.5,0.0,0.0,59802.5,10.998802745084944
TLB/MTP/022/24,TLB/MTC/2483/0124,2A 91411AA,August_2024,Private,Pick_Up,T/Pu,Collision,Lebu,3200000.0,1.0,365.0,1,COMPREHENSIVE,2024-04-17 00:00:00,2024-04-18,2024-01-26,2025-01-25,17250.0,0.0,0.0,17250.0,9.755567422459508
TLB/MTP/023/24,TLB/MTC/2483/0124,2A -91411AA,August_2024,Private,Pick_Up,T/Pu,Collision,Lebu,3200000.0,1.0,454.0,1,COMPREHENSIVE,2024-04-18 00:00:00,2024-04-19,2024-02-28,2025-05-27,44450.0,0.0,0.0,44450.0,10.702120240942053
TLB/MTP/025/24,TLB/MTP/1736/0422,2-C00508 AA,July_2024,Private,Automobile,Automobile,Collision,Lebu,1500000.0,1.0,365.0,1,COMPREHENSIVE,2024-04-22 00:00:00,2024-04-23,2023-04-27,2024-04-26,34672.5,0.0,0.0,34672.5,10.45370214453049
TLB/MTP/026/24,TLB/MTP/2228/0423,02-C32377AA,May_2025,Private,Automobile,Aotombile,Collision,Lebu,4050000.0,3.0,378.0,1,COMPREHENSIVE,2024-04-26 00:00:00,2024-04-29,2023-05-16,2024-05-28,342274.33,0.0,0.0,342274.33,12.74336782900972
TLB/MTP/027/24,TLB/MTP/2011/1122,2-B85892AA,July_2024,Private,Automobile,Automobile,Collision,Lebu,2400000.0,31.0,305.0,1,COMPREHENSIVE,2024-03-05 00:00:00,2024-04-05,2023-03-12,2024-01-11,171553.62,0.0,0.0,171553.62,12.052651149783571
TLB/MTP/028/24,TLB/MTP/2121/0223,3-52100ET,July_2024,Commercial,Automobile,Automobile,Collision,Lebu,6500000.0,0.0,335.0,1,COMPREHENSIVE,2024-10-05 00:00:00,2024-10-05,2024-02-02,2025-01-02,22164.93,0.0,0.0,22164.93,10.006266589041976
TLB/MTP/029/24,TLB/MTC/2471/0124,3-B72273 AA,August_2024,Public_Transport,Automobile,Automobile,Collision,Lebu,2400000.0,2.0,365.0,1,COMPREHENSIVE,2024-06-08 00:00:00,2024-06-10,2024-01-12,2025-01-11,42649.22,0.0,0.0,42649.22,10.660764264358686
TLB/MTP/030/24,TLB/MTC/2624/0624,3-B76898 AA,July_2024,Public_Transport,Automobile,Automobile,Collision,Lebu,2000000.0,1.0,364.0,1,COMPREHENSIVE,2024-06-16 00:00:00,2024-06-17,2024-06-11,2025-06-10,212409.87,0.0,0.0,212409.87,12.266273036196829
TLB/MTP/032/23,TLB/MTP/2228/0423,02-C32377AA,March_2025,Private,Automobile,Automobile,Collision,Lebu,4050000.0,1.0,365.0,1,COMPREHENSIVE,2023-07-20 00:00:00,2023-07-21,2023-04-29,2024-04-28,4887.0,0.0,0.0,4887.0,8.494333897270154
TLB/MTP/034/22,TLB/MTP/1269/0621,02-B06238AA,January_2025,Commercial,Pick_Up,Pick Up,Collision,Lebu,1000000.0,2.0,364.0,1,COMPREHENSIVE,2022-05-18 00:00:00,2022-05-20,2021-06-10,2022-06-09,20396.48,0.0,0.0,20396.48,9.923117615924404
TLB/MTP/035/24,,03-12326/38405ET,September_2024,Commercial,Truck,Truck,Collision,Lebu,5500000.0,1.0,,1,COMPREHENSIVE,2024-08-22 00:00:00,2024-08-23,,,15963.0,0.0,0.0,15963.0,9.678028823264478
TLB/MTP/036/24,,2-B64204 AA,September_2024,Commercial,Pick_Up,Pick Up,Collision,Lebu,4000000.0,1.0,364.0,1,COMPREHENSIVE,2024-09-01 00:00:00,2024-09-02,2024-08-13,2025-08-12,4200.0,0.0,0.0,4200.0,8.34283980427146
TLB/MTP/037/22,TLB/MTC/1521/1221,03-B23052AA,January_2025,Public_Transport,Automobile,Automobile,Collision,Lebu,900000.0,8.0,364.0,1,COMPREHENSIVE,2022-05-16 00:00:00,2022-05-24,2021-12-04,2022-12-03,3000.0,0.0,0.0,3000.0,8.006367567650246
TLB/MTP/037/24,TLB/MTC/2614/0524,03-B76142 AA,October_2024,Public_Transport,Automobile,Automobile,Collision,Lebu,3000000.0,1.0,182.0,1,COMPREHENSIVE,2024-09-05 00:00:00,2024-09-06,2024-06-01,2024-11-30,32292.83,0.0,0.0,32292.83,10.382600503145076
TLB/MTP/038/23,TLB/MTP/1762/0522,02-C03088AA,July_2024,Private,Automobile,Automobile,Collision,Lebu,1900000.0,0.0,365.0,1,COMPREHENSIVE,2023-10-04 00:00:00,2023-10-04,2023-05-21,2024-05-20,10896.25,0.0,0.0,10896.25,9.296173972325786
TLB/MTP/039/24,TLB/MTC/2614/0524,03-B76142AA,October_2024,Public_Transport,Automobile,Automobile,Collision,Lebu,3000000.0,0.0,182.0,1,COMPREHENSIVE,2024-09-23 00:00:00,2024-09-23,2024-06-01,2024-11-30,57489.22,0.0,0.0,57489.22,10.959352730948329
TLB/MTP/040/23,TLB/MTP/1252/0521,02-B78061AA,August_2024,Private,Automobile,Automobile,Collision,Lebu,1800000.0,4.0,365.0,1,COMPREHENSIVE,2023-10-19 00:00:00,2023-10-23,2023-06-07,2024-06-06,3000.0,0.0,0.0,3000.0,8.006367567650246
TLB/MTP/043/24,TLB/MTC/1562/0122,02-B90755AA,January_2025,Private,Automobile,Aotombilli,Collision,Lebu,1900000.0,0.0,365.0,1,COMPREHENSIVE,2024-11-08 00:00:00,2024-11-08,2024-01-06,2025-01-05,78807.93,0.0,0.0,78807.93,11.274768905300425
TLB/MTP/046/23,TLB/MTP/2060/1222,02-82662 AA,July_2024,Private,Automobile,Automobile,Collision,Lebu,2000000.0,1.0,365.0,1,COMPREHENSIVE,2023-12-19 00:00:00,2023-12-20,2023-12-10,2024-12-09,18999.17,0.0,0.0,18999.17,9.852150572983868
TLB/MTP/046/24,TLB/MTC/2253/0523,02-C02998 AA,April_2025,Private,Automobile,Aotombilli,Collision,Lebu,3000000.0,0.0,364.0,1,COMPREHENSIVE,2024-11-25 00:00:00,2024-11-25,2024-08-14,2025-08-13,28130.44,0.0,0.0,28130.44,10.244607543025277
TLB/MTP/047/24,TLB/MTC/2769/0924,03፟-B 46463 AA,February_2025,Public_Transport,Automobile,Aotombilli,Collision,Lebu,1600000.0,0.0,364.0,1,COMPREHENSIVE,2024-12-25 00:00:00,2024-12-25,2024-10-01,2025-09-30,25043.48,0.0,0.0,25043.48,10.12836879319332
TLB/TPCL/001/25,TLB/MTC/1979/1022,03-B46261AA,February_2025,Public_Transport,Automobile,Automobile,Collision,Lebu,0.0,3.0,364.0,0,TP_ONLY,2025-01-01 00:00:00,2025-01-04,2024-10-08,2025-10-07,0.0,0.0,65375.0,65375.0,11.087895201367225
TLB/TPCL/002/24,,02-B31581AA,September_2024,Private,Automobile,Automobile,Collision,Lebu,0.0,1.0,365.0,0,TP_ONLY,2024-01-10 00:00:00,2024-01-11,2023-11-02,2024-11-01,0.0,20000.0,40000.0,60000.0,11.002099841204238
TLB/TPCL/003/25,TLB/MTT/2141/0223,02-B26832AA,February_2025,Private,Automobile,Automobile,Collision,Lebu,0.0,4.0,365.0,0,TP_ONLY,2025-01-09 00:00:00,2025-01-13,2024-02-16,2025-02-15,0.0,0.0,16500.0,16500.0,9.711115659888671
TLB/TPCL/004/24,TLB/MTT/1962/0922,03-48026OR,July_2024,Commercial,Automobile,Automobile,Collision,Lebu,0.0,3.0,365.0,0,TP_ONLY,2024-01-13 00:00:00,2024-01-16,2023-10-01,2024-09-30,0.0,90000.0,50000.0,140000.0,11.84939770159144
TLB/TPCL/007/25,TLB/MTT/2691/0724,03-A76262 AA,February_2025,Public_Transport,Automobile,Automobile,Collision,Lebu,0.0,3.0,364.0,0,TP_ONLY,2025-01-21 00:00:00,2025-01-24,2024-07-31,2025-07-30,0.0,0.0,18000.0,18000.0,9.798127036878302
TLB/TPCL/008/25,TLB/MTT/2662/0724,03-52950 ET,March_2025,Commercial,Truck,Tipper,Collision,Lebu,0.0,1.0,364.0,0,TP_ONLY,2025-01-23 00:00:00,2025-01-24,2024-07-07,2025-07-06,0.0,0.0,83016.76,83016.76,11.32679779410492
TLB/TPCL/009/25,TLB/MTT/2684/0724,02-C55856 AA,March_2025,Private,Automobile,Automobile,Collision,Lebu,0.0,2.0,364.0,0,TP_ONLY,2025-02-15 00:00:00,2025-02-17,2024-07-26,2025-07-25,0.0,0.0,44850.0,44850.0,10.71107886748694
TLB/TPCL/010/24,TLB/MTT/1845/0722,03-B97829 AA,July_2024,Public_Transport,Automobile,Automobile,Collision,Lebu,0.0,1.0,365.0,0,TP_ONLY,2024-02-15 00:00:00,2024-02-16,2023-07-08,2024-07-07,0.0,0.0,100000.0,100000.0,11.512925464970229
TLB/TPCL/012/25,TLB/MTT/2654/0624,03-51044 AA,March_2025,Commercial,Truck,Truck,Collision,Lebu,0.0,1.0,364.0,0,TP_ONLY,2025-02-19 00:00:00,2025-02-20,2024-06-26,2025-06-25,0.0,0.0,35140.0,35140.0,10.467095361741087
